start_date,end_date,event,hazards_included,raw_hazards,location_code,centroid_lat,centroid_lon,n_records,source_files
2017-01-01,2017-01-28,event121168,"precipitation, wildfire",drought | wildfire,dr6975 | wf1080772,13.922,21.4405,2,myriad_2017-01.csv
2017-01-01,2017-01-30,event121169,"precipitation, wildfire",drought | wildfire,dr6975 | wf1080769,13.922,21.4405,2,myriad_2017-01.csv
2017-01-01,2017-02-28,event121171,"precipitation, temperature",drought | heatwave,dr6984 | hw148606,-31.822000000000003,-65.81649999999999,2,myriad_2017-01.csv | myriad_2017-02.csv
2017-01-01,2017-01-23,event121172,"precipitation, wildfire",drought | wildfire,dr6983 | wf1079654,-21.878,-55.8445,2,myriad_2017-01.csv
2017-01-01,2017-01-03,event121173,"temperature, wildfire",heatwave | wildfire,hw147030 | wf1321634,20.3625,-101.554,2,myriad_2017-01.csv
2017-01-01,2017-01-16,event121174,"precipitation, wind",extreme wind | flood,ew37348 | fl685,-25.3185,32.8525,2,myriad_2017-01.csv
2017-01-01,2017-01-03,event121175,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323102,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-01,2017-01-03,event121176,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323034,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-01,2017-01-03,event121177,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323056,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-01,2017-01-03,event121178,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323059,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-01,2017-01-03,event121179,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083220,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-01,2017-01-03,event121180,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083085,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-01,2017-01-03,event121181,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083255,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-01,2017-01-03,event121182,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323241,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-01,2017-01-03,event121183,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1081420,8.067499999999999,26.731499999999997,2,myriad_2017-01.csv
2017-01-01,2017-01-03,event121184,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1081398,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-01,2017-01-03,event121185,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1080873,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-01,2017-01-03,event121186,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1082780,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-01,2017-01-03,event121187,"temperature, wildfire",heatwave | wildfire,hw147735 | wf120574,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-01,2017-02-06,event121188,"temperature, wildfire",heatwave | wildfire,hw148186 | wf120574,9.122,31.853,2,myriad_2017-01.csv | myriad_2017-02.csv
2017-01-02,2017-01-06,event121189,"temperature, wildfire",heatwave | wildfire,hw147112 | wf1322596,4.2555,19.8615,2,myriad_2017-01.csv
2017-01-02,2017-01-06,event121190,"wildfire, wind",extreme wind | wildfire,ew37312 | wf1321641,19.105,-84.0665,2,myriad_2017-01.csv
2017-01-02,2017-01-20,event121191,"temperature, wildfire",heatwave | wildfire,hw147633 | wf1082092,4.3805,19.861,2,myriad_2017-01.csv
2017-01-02,2017-01-03,event121192,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1081182,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-02,2017-01-03,event121193,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083294,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-02,2017-01-03,event121194,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083052,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-02,2017-01-05,event121195,"precipitation, wildfire",flood | wildfire,fl687 | wf1321678,-32.884,-53.2555,2,myriad_2017-01.csv
2017-01-02,2017-01-03,event121196,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1082244,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-02,2017-01-03,event121197,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083070,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-02,2017-01-03,event121198,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323029,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-02,2017-01-03,event121199,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323054,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-02,2017-01-03,event121200,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323060,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-02,2017-01-03,event121201,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323062,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-02,2017-01-03,event121202,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323067,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-02,2017-01-04,event121203,"temperature, wildfire",heatwave | wildfire,hw147006 | wf1083291,0.637,29.4795,2,myriad_2017-01.csv
2017-01-03,2017-01-03,event121204,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323255,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-03,event121205,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083270,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-03,event121206,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323242,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-03,event121207,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323229,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-03,event121208,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323228,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-03,event121209,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083147,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-03,event121210,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083227,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-03,event121211,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1081611,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-03,event121212,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083258,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-03,event121213,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083251,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-03,event121214,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323216,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-03,event121215,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323064,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-04,event121216,"precipitation, temperature",coldwave | flood,cw25367 | fl686,45.31,-119.6665,2,myriad_2017-01.csv
2017-01-03,2017-01-07,event121217,"temperature, wind",coldwave | extreme wind,cw25367 | ew37240,40.568,-122.28999999999999,2,myriad_2017-01.csv
2017-01-03,2017-01-03,event121218,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323214,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-06,event121219,"temperature, wildfire",heatwave | wildfire,hw147111 | wf1322438,6.1274999999999995,23.7335,2,myriad_2017-01.csv
2017-01-03,2017-01-03,event121220,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1082991,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-03,event121221,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083004,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-03,event121222,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1082918,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-04,event121223,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083248,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-04,event121224,"temperature, wildfire",heatwave | wildfire,hw147735 | wf120504,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-04,event121225,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1081499,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-04,event121226,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1082637,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-04,event121227,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1082336,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-04,event121228,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323097,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-04,event121229,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083277,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-04,event121230,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323072,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-04,event121231,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323042,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-04,event121232,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323058,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-04,event121233,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323063,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-04,event121234,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323066,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-04,event121235,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1080938,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-04,event121236,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1082754,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-05,event121237,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323061,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-05,event121238,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1082579,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-05,event121239,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1081852,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-05,event121240,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1082627,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-05,event121241,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1322288,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-05,event121242,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1081472,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-05,event121243,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083331,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-05,event121244,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323025,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-05,event121245,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083256,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-05,event121246,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083254,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-05,event121247,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083202,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-05,event121248,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1082908,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-05,event121249,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1082479,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-05,event121250,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323226,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-05,event121251,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323224,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-05,event121252,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323221,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-05,event121253,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323103,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-05,event121254,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083240,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-05,event121255,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1081714,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-06,event121256,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083058,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-06,event121257,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1082824,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-06,event121258,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1082209,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-06,event121259,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323068,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-06,event121260,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083169,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-06,event121261,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323084,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-06,event121262,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083005,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-06,event121263,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1081370,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-06,event121264,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083143,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-06,event121265,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1082969,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-06,event121266,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083092,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-06,event121267,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083099,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-06,event121268,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1081793,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-06,event121269,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1322991,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-06,event121270,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083118,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-06,event121271,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083101,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-06,event121272,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083071,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-07,event121273,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1082938,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-07,event121274,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1082529,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-07,event121275,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1081771,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-07,event121276,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1081375,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-07,event121277,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1323077,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-07,event121278,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1081550,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-07,event121279,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1082792,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-07,event121280,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1083314,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-07,event121281,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1081540,8.124,26.731499999999997,2,myriad_2017-01.csv
2017-01-03,2017-01-07,event121282,"temperature, wildfire",heatwave | wildfire,hw147735 | wf1322331,8.124,26.731499999999997,2,myriad_2017-01.csv
